payment_id,diagnosed_bucket,confidence,final_bucket_used,action,reason,attempt_number,max_attempts_allowed,escalate,retry_at
pay_f1d7b74656c145,retryable_transient,0.975,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_9adb916bb74a47,retryable_transient,0.57,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_32ef14b43cb44a,non_retryable,0.587,escalate_human,escalate_human,Max retry attempts (0) reached for bucket 'non_retryable' — stopping and escalating.,1,0,True,
pay_affec597019046,retryable_transient,0.777,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_216119fde87d4a,non_retryable,0.709,escalate_human,escalate_human,Max retry attempts (0) reached for bucket 'non_retryable' — stopping and escalating.,1,0,True,
pay_52bf197c365e4a,retryable_transient,0.899,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_94f071b753ef42,escalate_human,0.75,escalate_human,escalate_human,Low model confidence or high-risk signal — routed to human review instead of auto-acting.,1,0,True,
pay_e7e9905e95fc45,retryable_transient,0.984,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_034312d49fa14c,retryable_transient,0.981,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_e93fee3805e449,non_retryable,0.418,escalate_human,escalate_human,Model confidence 0.42 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_59d6bd6a213542,abandoned_checkout,0.328,escalate_human,escalate_human,Model confidence 0.33 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_a3240a1f508c47,retryable_transient,0.925,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_b24bb629a14a4b,retryable_transient,0.98,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_6e5ff97815ce48,abandoned_checkout,0.411,escalate_human,escalate_human,Model confidence 0.41 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_7ca10fcce42a45,non_retryable,0.46,escalate_human,escalate_human,Model confidence 0.46 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_2a3858d4c0e14a,retryable_with_delay,0.766,retryable_with_delay,retry_later,Likely insufficient funds — retrying after a cooldown window improves success odds.,1,2,False,2026-09-05 20:01:25
pay_74a4633a7fea40,retryable_transient,0.906,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_658b789db20d41,retryable_with_delay,0.525,escalate_human,escalate_human,Model confidence 0.52 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_5fa331218bab45,retryable_transient,0.598,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_8add8044a8b944,retryable_transient,0.94,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_88d134a65b714d,abandoned_checkout,0.478,escalate_human,escalate_human,Model confidence 0.48 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_0e396faf32c845,retryable_with_delay,0.573,retryable_with_delay,retry_later,Likely insufficient funds — retrying after a cooldown window improves success odds.,1,2,False,2026-09-05 20:01:25
pay_eb9ca6b5d2b04a,abandoned_checkout,0.543,escalate_human,escalate_human,Model confidence 0.54 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_1c2830e255a641,non_retryable,0.568,escalate_human,escalate_human,Max retry attempts (0) reached for bucket 'non_retryable' — stopping and escalating.,1,0,True,
pay_555df0f6b29245,abandoned_checkout,0.337,escalate_human,escalate_human,Model confidence 0.34 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_93ca49082e4a41,retryable_with_delay,0.399,escalate_human,escalate_human,Model confidence 0.40 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_4d5ed169c0dd4d,abandoned_checkout,0.318,escalate_human,escalate_human,Model confidence 0.32 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_6ad5efc4403e48,retryable_transient,0.97,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_9b21693c87134e,abandoned_checkout,0.398,escalate_human,escalate_human,Model confidence 0.40 below threshold 0.55 — cannot safely act on this diagnosis.,1,0,True,
pay_d7b68697117047,retryable_with_delay,0.654,retryable_with_delay,retry_later,Likely insufficient funds — retrying after a cooldown window improves success odds.,1,2,False,2026-09-05 20:01:25
pay_1b8867ff569043,retryable_transient,0.989,retryable_transient,retry_now,Transient failure (network/gateway) — safe to retry immediately.,1,3,False,2026-09-04 20:31:25
pay_c133b4f00f844c,retryable_with_delay,0.615,retryable_with_delay,retry_later,Likely insufficient funds — retrying after a cooldown window improves success odds.,1,2,False,2026-09-05 20:01:25
